name,latitude,longitude
713,61.888166667,17.461333333
715,61.9845,17.416666667
716,62.012666667,17.618333333
717,62.035,17.496
718,62.044666667,17.712
720,62.112166667,17.810666667
722,62.1795,17.659833333
723,62.165333333,17.575
724,62.225833333,17.758333333
726,62.3015,17.5915
727,62.365166667,17.6155
728,62.339833333,17.439166667
729,62.391166667,17.351166667
730,62.432833333,17.398333333
731,62.485,17.367833333
732,62.5025,17.482
733,62.399,17.528166667
734,62.416,17.628166667
735,62.379333333,17.748833333
737,62.465666667,17.669
738,62.476833333,17.818166667
740,62.492166667,18.283333333
741,62.5545,17.920333333
934,62.275833333,21.130666667
936,61.484833333,21.200833333
937,61.149833333,21.16
938,60.7795,20.707666667
942,60.207,20.274833333
943,60.358333333,20.167166667
944,60.5545,19.865666667
945,60.4465,19.753333333
946,60.351333333,19.511666667
947,60.21,19.448833333
948,60.1865,19.170666667
950,60.083,19.706666667
951,60-03-01,19.873333333
952,59.976333333,20.080166667
953,60.053666667,20.324833333
954,60.079166667,20.7625
955,59.933666667,20.849166667
956,59.931666667,21.231666667
959,59.708166667,20.551166667
960,59.856166667,20.336166667
961,59.846,20.079
962,59.808333333,19.784166667
963,59.5895,19.919833333
964,59.502,20.349166667
965,59.474166667,20.813666667
966,59.746666667,21.345
967,59.857333333,21.35
968,59.8725,21.941333333
969,59.914166667,22.531666667
970,59.723666667,22.505333333
971,59.816666667,22.839166667
972,59.25,21
973,59.226166667,22.850833333
974,59.2085,22.280666667
975,59.086833333,22.263833333
976,59-05-01,22.207
977,58.905,21.783333333
978,58.689833333,22.4035
979,58.58,21.689
980,58.383333333,21.644166667
981,58.306,21.5245
982,57.782666667,21.689333333
983,57.716166667,20.915166667
984,57.708166667,21.247833333
985,57.6915,21.0645
986,57.662666667,21.548
987,57.475333333,21.431833333
988,57.438,21.411166667
989,57-03-01,21.367833333
